# Constructed from biom file
#OTU ID	gutmock00S01	gutmock01S01	gutmock02S01	gutmock03S01	gutmock04S01
ad59f221a9689e17136024930052af65	0.0	0.0	17.0	0.0	0.0
16b422bb3e333f2daba0e5986f82d4a8	4.0	0.0	12.0	0.0	0.0
0d8d94550363d6478a1b2501ffe91350	0.0	6.0	0.0	0.0	10.0
16dff1b93bcc2b89ba2e07cd136ac1ce	0.0	16.0	0.0	0.0	0.0
c73070b295acec83082880618e4131e2	0.0	16.0	0.0	0.0	0.0
ace7795090e5902b9a96c8d28c988112	0.0	16.0	0.0	0.0	0.0
2ea2c20e46914eb202e35424d4fbd3a9	0.0	16.0	0.0	0.0	0.0
a1d8bd5a644b445a9f7f0ff257de6180	0.0	0.0	16.0	0.0	0.0
822c08ed60718bc5da9fb4d3625c2137	5.0	0.0	0.0	10.0	0.0
4366598d5bfcb727f35f1d736e0ff451	0.0	5.0	4.0	0.0	6.0
14a8140bae22a0c13311a58cfdfed5fb	0.0	0.0	15.0	0.0	0.0
a6ed99bb89d5ae180e0aef46c920b2b5	14.0	0.0	0.0	0.0	0.0
abcf2a70bfcafecc9e305706fb175554	7.0	0.0	0.0	0.0	7.0
7867aa3459fb2ff472bb77e778e73792	12.0	0.0	0.0	2.0	0.0
5955cc1bd4d1405e6c99856fcd85e611	0.0	14.0	0.0	0.0	0.0
af276c168314b7c2daa6e623f444f8af	0.0	4.0	10.0	0.0	0.0
2ea0a4bf9fa075d3da8d905608e3d935	0.0	14.0	0.0	0.0	0.0
754c5abba2a20bcb993690aefa3b4c3f	0.0	7.0	0.0	7.0	0.0
c485b9c15e3acdd4d26cc8ca47838d9b	0.0	0.0	14.0	0.0	0.0
33410deed9bde71108a647cfd9ba00d6	0.0	0.0	14.0	0.0	0.0
11192deda0abddbf999baab96f57c492	0.0	0.0	4.0	10.0	0.0
d7aa9c05aa76f091e59511a3092c5332	0.0	0.0	0.0	0.0	14.0
6c85409437f072e18e312ff52cd36c4d	7.0	0.0	6.0	0.0	0.0
2c802dde28a301064f133a465d7690b9	0.0	13.0	0.0	0.0	0.0
4a604acd9e1f6f480db8010b2d61e198	0.0	10.0	0.0	3.0	0.0
a554422963f7a2c0a378549b0cf5c701	0.0	7.0	6.0	0.0	0.0
f98c5925d52b5d45b07a863477d174f0	0.0	13.0	0.0	0.0	0.0
1f740ab84cb1e68e3f87c6909b17a641	0.0	0.0	13.0	0.0	0.0
f8b51bf49e755b11fcea3564681ecec0	0.0	0.0	13.0	0.0	0.0
edfc9ec09d43f7f64836eb2ce405c91a	0.0	0.0	0.0	0.0	13.0
b3110be236ff6a6cda07f829291b670c	12.0	0.0	0.0	0.0	0.0
2e29ea455c51c84a15aee5133d0efd55	12.0	0.0	0.0	0.0	0.0
a018e722cca9aa2e395d8c79ae1112e8	4.0	4.0	4.0	0.0	0.0
a02688046b8581aa4162895d8028d8bb	5.0	0.0	0.0	0.0	7.0
ecb8a537d70d08bfb68b1a6def9cbe5e	4.0	4.0	0.0	0.0	4.0
37567b2489cabdf7aaf8145a00adaea1	0.0	3.0	4.0	0.0	5.0
c4abdbfb9f58bd9a5913d85187410b93	0.0	0.0	12.0	0.0	0.0
779336db10314827400eb77e02253b1c	0.0	0.0	12.0	0.0	0.0
7936a4da69426fbece70ae72d8a0890f	0.0	0.0	9.0	0.0	3.0
92f53f20e3ce0ab77e3014b7f204977b	0.0	0.0	5.0	7.0	0.0
b4d2167c3b18129d2c2854b5e7794ea8	0.0	0.0	12.0	0.0	0.0
5ebe247dca12def1d7a94002c047d897	11.0	0.0	0.0	0.0	0.0
c08e8693ca19bb4d23d8afee005b73fa	4.0	0.0	0.0	7.0	0.0
f7d99d63cc315afb0b6d6d5319d4d610	5.0	0.0	6.0	0.0	0.0
9c2c738d72b41b5f824783a7e5f5278c	3.0	0.0	0.0	4.0	4.0
6c0449efb946a1b3c07f461a341545a8	3.0	3.0	0.0	0.0	5.0
df37b2aaf5d3c48df8cbacc1818d5cc2	0.0	11.0	0.0	0.0	0.0
4fade3bd95ececfd972fae3328496783	0.0	0.0	11.0	0.0	0.0
6f5304513a193c99a6da04c13f370b89	0.0	0.0	7.0	4.0	0.0
9d36f89ac0464f8c6f9c69edaf799c3d	0.0	0.0	11.0	0.0	0.0
e9863ed5bb7125eb7e1ed295f4c1d188	0.0	0.0	11.0	0.0	0.0
31fc2663cc507a7a20503d158b0578cc	0.0	0.0	11.0	0.0	0.0
f2f117cf69627b6a9891532207405c1a	0.0	0.0	4.0	0.0	7.0
ea3c52539a4c486b98ad1563fff6866a	0.0	0.0	0.0	11.0	0.0
f2adc81847a5a16ab99967ab84f9da2c	0.0	0.0	0.0	11.0	0.0
a31863de93360b9605d32909706d5a10	6.0	0.0	0.0	4.0	0.0
652c81adcbd0280b25fa856dbb94036c	5.0	0.0	0.0	0.0	5.0
53d0a80a0031f19b77220ae5dfcd46ff	4.0	0.0	6.0	0.0	0.0
320e4094ab5827965f61f8406c1071f5	6.0	0.0	4.0	0.0	0.0
bf596f4e57923ba351f21653c3a3d7fc	10.0	0.0	0.0	0.0	0.0
bea631f13809df65edef286acc68edb1	0.0	4.0	0.0	0.0	6.0
73e4eed5100bf96f29bbf5957ea1e839	0.0	0.0	10.0	0.0	0.0
199580ad5f374e85f382984e5286ab7b	0.0	0.0	10.0	0.0	0.0
2a9b8dc91efa6871bebadc171e94c49e	0.0	0.0	0.0	10.0	0.0
6c18ec7ed2769d2412f8ccd7e9c1bb34	0.0	0.0	0.0	0.0	10.0
4533e1c558ce421df06b2bc613b56a37	9.0	0.0	0.0	0.0	0.0
6eeb0300c51a2aeb8cacff66a27a5784	9.0	0.0	0.0	0.0	0.0
8220396c8a663587424dd3931ff3d98c	4.0	0.0	0.0	0.0	5.0
e5f16054d9b806eb7727971b35b8a54e	5.0	0.0	4.0	0.0	0.0
52f3460409fa976181b0d2ac3eb77525	3.0	2.0	0.0	0.0	4.0
82d4fdf11e1e3ba19fc9af97983e0e45	9.0	0.0	0.0	0.0	0.0
04e839a9c18b425320abe169d405a7c6	0.0	9.0	0.0	0.0	0.0
1af404e8b538c6cac85684050f8616bf	0.0	0.0	9.0	0.0	0.0
bec57e24f5158ec4b0e74ef05df6a893	0.0	0.0	9.0	0.0	0.0
91d2eb845a66f7668f630f9458f3c286	0.0	0.0	0.0	9.0	0.0
2ba59e9cadc695e72f18a473c373fa13	8.0	0.0	0.0	0.0	0.0
bc8febfa9c3f8bebc42522df1d883a36	4.0	0.0	0.0	0.0	4.0
750394ad1c58ed11718826a19f231c66	8.0	0.0	0.0	0.0	0.0
69b370a3e4450b1a59f744f734f2ba8a	8.0	0.0	0.0	0.0	0.0
d9409d8381b1b22a4d10ca2b6bdb2153	0.0	8.0	0.0	0.0	0.0
d4f187ca1f1b1eebca3d299afc1afa9f	0.0	8.0	0.0	0.0	0.0
2d578a97978cfed429f5e122855b6374	0.0	3.0	0.0	0.0	5.0
a877b31f4b4e7856b5407739d39b6a26	0.0	0.0	4.0	2.0	2.0
0d7b8a4073658979877f284f0cd6788c	0.0	0.0	8.0	0.0	0.0
7e95d22721b1c7d53066b36dd5b08c39	7.0	0.0	0.0	0.0	0.0
8fe1746b8c6f5ba835dbd1daa8adb675	4.0	0.0	0.0	0.0	3.0
045c48ef0ee26dfe655973e881e27fe8	0.0	7.0	0.0	0.0	0.0
f19384a6f6e1d2703005b7115e56c53d	0.0	7.0	0.0	0.0	0.0
36264212b7f5835d4ea1219b1edf3cd1	0.0	0.0	7.0	0.0	0.0
