Taxon	gutmock00	gutmock01	gutmock02	gutmock03	gutmock04
k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Erysipelatoclostridium; s__[Clostridium]_innocuum	0.2699128786544699	0.3935047148483319	0.6526667421194692	0.34429735620479274	0.3745240731639438
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Odoribacteraceae; g__Odoribacter; s__Odoribacter_splanchnicus	0.2683119719008847	0.45706834072724645	0.3014682429443056	0.2599736816766698	0.2839277360981993
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__[Ruminococcus]_torques_group; s__Ruminococcus_lactaris	0.26446979569228013	0.22345563324443163	0.2486512811542907	0.42832925331240324	0.2972507268431618
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__Alistipes_putredinis	0.2631890702894119	0.2581862741885808	0.6272871630775141	0.14151204894858005	0.25935421983526863
k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Holdemanella; s__Holdemanella_biformis	0.2615881635358267	0.0	0.09431600319645508	2.344139796397716	0.44380362503774845
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__Alistipes_shahii	0.25422399246933464	0.3106098831608815	0.3649171905491935	0.32153871740481493	0.24040596633132205
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Frisingicoccus; s__Frisingicoccus_caecimuris	0.2535836297679005	0.0	0.08985742849989539	0.21562351375876426	0.13471023975462013
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Eubacteriaceae; g__Eubacterium; s__Eubacterium_ramulus	0.24685982140284257	0.2503227328427357	0.14507516128036546	0.32328938192789014	0.3763004719299388
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__Fenollaria; s__Fenollaria_massiliensis	0.24365800789567213	0.05864891253776138	0.0	0.3515917917176062	0.06069362450482884
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Phocaeicola; s__Phocaeicola_plebeius	0.2407763757392187	0.751295846084284	0.518223566653977	0.5424142247328049	0.586507659239346
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_eggerthii	0.23501311142631187	0.09665602904267936	0.07030829329190288	0.23896570739976716	0.3416606959930365
k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Coprobacillaceae; g__Coprobacillus; s__Coprobacillus_cateniformis	0.22924984711340501	0.06716774899576025	0.18245859527459676	0.09307699714349905	0.09859013151272199
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__Lawsonibacter; s__Lawsonibacter_asaccharolyticus	0.22220585739763005	0.28308748845042364	0.32650485470191	0.22962882994336603	0.2901451317791818
k__Bacteria; p__Firmicutes; c__Tissierellia; o__Tissierellales; f__Peptoniphilaceae; g__Finegoldia; s__Finegoldia_magna	0.22188567604691298	0.11336605440260021	0.07133719514495512	0.4119897177637011	0.10539966011570277
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella_rara	0.20299497635460723	0.18577616429559052	0.05899037290832827	0.06477458735378304	0.05773295989483719
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Papillibacter; s__Papillibacter_cinnamivorans	0.19947298149671971	0.1120554641782927	0.04561464881864919	0.13888605216396724	0.06395035557581966
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__Alistipes_ihumii	0.19787207474313448	0.08158424146314293	0.2575684305474101	0.19928397821006222	0.22353017805436964
