ID	vagimock00	vagimock01	vagimock02	vagimock03	vagimock04
AJ422033.1.1527	0.0	0.0	0.0	1.0	0.0
AJ422032.1.1480	0.0	0.0	0.0	1.0	0.0
X76329	0.0	0.0	0.0	1.0	0.0
134032	0.0	0.0	0.0	1.0	0.0
AB558162.1.1427	0.0	0.0	0.0	1.0	0.0
CP001708.1430943.1432457	0.0	0.0	0.0	1.0	0.0
DJ390712.1.1488	0.0	0.0	0.0	1.0	0.0
NR_074575	0.0	0.0	0.0	1.0	0.0
NR_115503	0.0	0.0	0.0	1.0	0.0
KP898206.1.1461	0.0	0.0	0.0	1.0	0.0
CP013908.91038.92592	0.0	0.0	0.0	1.0	0.0
CP019811.16349.17893	0.0	0.0	0.0	1.0	0.0
HF952105.342356.343856	0.0	0.0	0.0	1.0	1.0
AY570514	0.0	0.0	0.0	3.0	0.0
NR_113091	0.0	0.0	0.0	1.0	0.0
AM419459.1.1482	0.0	0.0	0.0	0.0	19.0
AJ278694.1.1411	0.0	0.0	0.0	0.0	23.0
MH109009.1.1311	0.0	0.0	0.0	0.0	1.0
CP019803.241553.243095	0.0	0.0	0.0	0.0	1.0
ANDM01000025.3372.4924	0.0	0.0	0.0	0.0	1.0
AB002479.1.1450	0.0	0.0	0.0	0.0	1.0
CP019803.171703.173245	0.0	0.0	0.0	0.0	1.0
ANQB01000005.81232.82760	0.0	0.0	0.0	0.0	1.0
NR_117503	0.0	0.0	0.0	0.0	1.0
LT545678.438546.440074	0.0	0.0	0.0	0.0	1.0
MH447026.1.1268	0.0	0.0	0.0	0.0	1.0
LT545678.22382.23910	0.0	0.0	0.0	0.0	1.0
CP016391.456258.457812	0.0	0.0	0.0	0.0	1.0
CP019808.171712.173257	0.0	0.0	0.0	0.0	1.0
CP019978.16400.17950	0.0	0.0	0.0	0.0	1.0
AAJO01000124.192.1698	0.0	0.0	0.0	0.0	1.0
CP019811.390848.392391	0.0	0.0	0.0	0.0	1.0
DQ925472	0.0	0.0	0.0	0.0	122.0
