ID	vagimock00	vagimock01	vagimock02	vagimock03	vagimock04
317337	0.0	0.0	1.0	0.0	0.0
269138	0.0	0.0	1.0	0.0	0.0
296374	0.0	0.0	1.0	0.0	0.0
366904	0.0	0.0	1.0	0.0	0.0
529745	0.0	0.0	1.0	0.0	0.0
532041	0.0	0.0	1.0	0.0	0.0
528314	0.0	0.0	1.0	0.0	0.0
151386	0.0	0.0	1.0	0.0	0.0
521783	0.0	0.0	1.0	0.0	0.0
295554	0.0	0.0	1.0	0.0	0.0
190526	0.0	0.0	1.0	0.0	0.0
196633	0.0	0.0	1.0	0.0	0.0
361145	0.0	0.0	1.0	0.0	0.0
178189	0.0	0.0	1.0	0.0	0.0
191313	0.0	0.0	1.0	0.0	0.0
530715	0.0	0.0	1.0	0.0	0.0
519723	0.0	0.0	1.0	0.0	0.0
CP000139.2183533.2185042	0.0	0.0	1.0	0.0	0.0
NR_113383	0.0	0.0	1.0	0.0	0.0
563802	0.0	0.0	1.0	0.0	0.0
185253	0.0	0.0	1.0	0.0	0.0
302475	0.0	0.0	1.0	0.0	0.0
300501	0.0	0.0	1.0	0.0	0.0
ABDV01000036.26606.28120	0.0	0.0	1.0	0.0	0.0
299207	0.0	0.0	1.0	0.0	0.0
CP010994.83026.84545	0.0	0.0	1.0	0.0	0.0
547879	0.0	0.0	1.0	0.0	0.0
D86183	0.0	0.0	50.0	11.0	20.0
AEEQ01000018.217.1734	0.0	0.0	61.0	9.0	35.0
KF933800.1.1486	0.0	0.0	69.0	8.0	22.0
CP029462.1203552.1205117	0.0	0.0	3.0	10.0	3.0
CP029462.1008000.1009561	0.0	0.0	1.0	6.0	7.0
CP029462.2297199.2298764	0.0	0.0	3.0	5.0	5.0
L16476	0.0	0.0	2.0	0.0	0.0
NR_113098	0.0	0.0	2.0	0.0	0.0
AF443616	0.0	0.0	1.0	0.0	0.0
CP026341.543512.545033	0.0	0.0	1.0	0.0	0.0
M24473	0.0	0.0	1.0	0.0	0.0
CP009677.527895.529412	0.0	0.0	1.0	0.0	0.0
NR_113093	0.0	0.0	3.0	0.0	0.0
309399	0.0	0.0	0.0	1.0	0.0
520785	0.0	0.0	0.0	1.0	0.0
510759	0.0	0.0	0.0	1.0	0.0
516464	0.0	0.0	0.0	1.0	0.0
344318	0.0	0.0	0.0	1.0	0.0
523308	0.0	0.0	0.0	1.0	0.0
321875	0.0	0.0	0.0	1.0	0.0
329728	0.0	0.0	0.0	1.0	0.0
526623	0.0	0.0	0.0	1.0	0.0
522413	0.0	0.0	0.0	1.0	0.0
514723	0.0	0.0	0.0	1.0	0.0
527333	0.0	0.0	0.0	1.0	0.0
AJ867050.1.1476	0.0	0.0	0.0	1.0	0.0
CP029462.677316.678880	0.0	0.0	0.0	3.0	2.0
CP029462.1281788.1283352	0.0	0.0	0.0	3.0	8.0
X76329	0.0	0.0	0.0	5.0	0.0
CP001708.235850.237365	0.0	0.0	0.0	1.0	0.0
CP001708.643497.645010	0.0	0.0	0.0	1.0	0.0
CP001708.1430943.1432457	0.0	0.0	0.0	1.0	0.0
NR_074575	0.0	0.0	0.0	1.0	0.0
AB558162.1.1427	0.0	0.0	0.0	1.0	0.0
CP007632.22329.23881	0.0	0.0	0.0	1.0	0.0
CP007632.165250.166802	0.0	0.0	0.0	1.0	1.0
CP006910.334991.336527	0.0	0.0	0.0	1.0	3.0
AAJO01000148.739.2249	0.0	0.0	0.0	1.0	2.0
NR_113091	0.0	0.0	0.0	4.0	0.0
AB023574	0.0	0.0	0.0	0.0	2.0
CP013908.91038.92592	0.0	0.0	0.0	0.0	1.0
CP016391.456258.457812	0.0	0.0	0.0	0.0	1.0
CP012480.22339.23891	0.0	0.0	0.0	0.0	1.0
CP019978.16400.17950	0.0	0.0	0.0	0.0	1.0
ANQB01000005.81232.82760	0.0	0.0	0.0	0.0	1.0
CP019801.172347.173892	0.0	0.0	0.0	0.0	1.0
CP019811.241548.243092	0.0	0.0	0.0	0.0	2.0
DQ925472	0.0	0.0	0.0	0.0	122.0
